doc_id,year,term,count,frequency_per_1000
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,generalization,289,1.3571452051449422
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,ensemble,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,big data,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,speech recognition,2,0.009392008340103406
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,perceptron,9,0.04226403753046533
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,probability,17,0.07983207089087895
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,clustering,150,0.7044006255077555
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,game playing,4,0.01878401668020681
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,probabilistic,10,0.046960041700517034
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,machine learning,183,0.8593687631194616
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,momentum,4,0.01878401668020681
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,image recognition,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,pattern recognition,85,0.39916035445439474
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,natural language,49,0.23010420433253345
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,expert system,9,0.04226403753046533
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,artificial intelligence,235,1.1035609799621502
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,kernel,16,0.07513606672082725
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,generative,10,0.046960041700517034
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,unsupervised learning,4,0.01878401668020681
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,feature extraction,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,sampling,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,computer vision,2,0.009392008340103406
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,fine tuning,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,decision tree,42,0.19723217514217153
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,validation,2,0.009392008340103406
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,classification,91,0.427336379474705
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,regression,3,0.01408801251015511
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,feature,21,0.09861608757108577
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,reinforcement learning,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,attention,32,0.1502721334416545
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,training data,9,0.04226403753046533
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,robotics,5,0.023480020850258517
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,supervised learning,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,boosting,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,discriminative,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,adam,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,optimization,1,0.004696004170051703
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,inference,228,1.0706889507717883
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,1983,dimensionality reduction,2,0.009392008340103406
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,generalization,203,1.0700373722412275
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,backpropagation,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,neural networks,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,speech recognition,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,perceptron,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,probability,12,0.06325344072361937
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,clustering,44,0.23192928265327098
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,game playing,2,0.010542240120603228
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,machine learning,151,0.7959391291055435
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,embedding,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,momentum,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,pattern recognition,6,0.03162672036180968
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,natural language,18,0.09488016108542904
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,expert system,9,0.04744008054271452
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,gradient,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,artificial intelligence,107,0.5640098464522726
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,kernel,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,generative,2,0.010542240120603228
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,sampling,8,0.042168960482412914
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,computer vision,2,0.010542240120603228
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,decision tree,23,0.12123576138693712
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,validation,2,0.010542240120603228
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,classification,99,0.5218408859698598
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,regression,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,feature,65,0.34262280391960487
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,attention,17,0.08960904102512743
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,convex,1,0.005271120060301614
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,robotics,2,0.010542240120603228
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,1986,supervised learning,1,0.005271120060301614
